"NU_ANO_CENSO","NO_REGIAO","CO_REGIAO","NO_UF","SG_UF","CO_UF","NO_MUNICIPIO","CO_MUNICIPIO","IN_CAPITAL","TP_DIMENSAO","TP_ORGANIZACAO_ACADEMICA","TP_CATEGORIA_ADMINISTRATIVA","TP_REDE","CO_IES","NO_CURSO","CO_CURSO","NO_CINE_ROTULO","CO_CINE_ROTULO","CO_CINE_AREA_GERAL","NO_CINE_AREA_GERAL","CO_CINE_AREA_ESPECIFICA","NO_CINE_AREA_ESPECIFICA","CO_CINE_AREA_DETALHADA","NO_CINE_AREA_DETALHADA","TP_GRAU_ACADEMICO","IN_GRATUITO","TP_MODALIDADE_ENSINO","TP_NIVEL_ACADEMICO","QT_CURSO","QT_VG_TOTAL","QT_VG_TOTAL_DIURNO","QT_VG_TOTAL_NOTURNO","QT_VG_TOTAL_EAD","QT_VG_NOVA","QT_VG_PROC_SELETIVO","QT_VG_REMANESC","QT_VG_PROG_ESPECIAL","QT_INSCRITO_TOTAL","QT_INSCRITO_TOTAL_DIURNO","QT_INSCRITO_TOTAL_NOTURNO","QT_INSCRITO_TOTAL_EAD","QT_INSC_VG_NOVA","QT_INSC_PROC_SELETIVO","QT_INSC_VG_REMANESC","QT_INSC_VG_PROG_ESPECIAL","QT_ING","QT_ING_FEM","QT_ING_MASC","QT_ING_DIURNO","QT_ING_NOTURNO","QT_ING_VG_NOVA","QT_ING_VESTIBULAR","QT_ING_ENEM","QT_ING_AVALIACAO_SERIADA","QT_ING_SELECAO_SIMPLIFICA","QT_ING_EGR","QT_ING_OUTRO_TIPO_SELECAO","QT_ING_PROC_SELETIVO","QT_ING_VG_REMANESC","QT_ING_VG_PROG_ESPECIAL","QT_ING_OUTRA_FORMA","QT_ING_0_17","QT_ING_18_24","QT_ING_25_29","QT_ING_30_34","QT_ING_35_39","QT_ING_40_49","QT_ING_50_59","QT_ING_60_MAIS","QT_ING_BRANCA","QT_ING_PRETA","QT_ING_PARDA","QT_ING_AMARELA","QT_ING_INDIGENA","QT_ING_CORND","QT_MAT","QT_MAT_FEM","QT_MAT_MASC","QT_MAT_DIURNO","QT_MAT_NOTURNO","QT_MAT_0_17","QT_MAT_18_24","QT_MAT_25_29","QT_MAT_30_34","QT_MAT_35_39","QT_MAT_40_49","QT_MAT_50_59","QT_MAT_60_MAIS","QT_MAT_BRANCA","QT_MAT_PRETA","QT_MAT_PARDA","QT_MAT_AMARELA","QT_MAT_INDIGENA","QT_MAT_CORND","QT_CONC","QT_CONC_FEM","QT_CONC_MASC","QT_CONC_DIURNO","QT_CONC_NOTURNO","QT_CONC_0_17","QT_CONC_18_24","QT_CONC_25_29","QT_CONC_30_34","QT_CONC_35_39","QT_CONC_40_49","QT_CONC_50_59","QT_CONC_60_MAIS","QT_CONC_BRANCA","QT_CONC_PRETA","QT_CONC_PARDA","QT_CONC_AMARELA","QT_CONC_INDIGENA","QT_CONC_CORND","QT_ING_NACBRAS","QT_ING_NACESTRANG","QT_MAT_NACBRAS","QT_MAT_NACESTRANG","QT_CONC_NACBRAS","QT_CONC_NACESTRANG","QT_ALUNO_DEFICIENTE","QT_ING_DEFICIENTE","QT_MAT_DEFICIENTE","QT_CONC_DEFICIENTE","QT_ING_FINANC","QT_ING_FINANC_REEMB","QT_ING_FIES","QT_ING_RPFIES","QT_ING_FINANC_REEMB_OUTROS","QT_ING_FINANC_NREEMB","QT_ING_PROUNII","QT_ING_PROUNIP","QT_ING_NRPFIES","QT_ING_FINANC_NREEMB_OUTROS","QT_MAT_FINANC","QT_MAT_FINANC_REEMB","QT_MAT_FIES","QT_MAT_RPFIES","QT_MAT_FINANC_REEMB_OUTROS","QT_MAT_FINANC_NREEMB","QT_MAT_PROUNII","QT_MAT_PROUNIP","QT_MAT_NRPFIES","QT_MAT_FINANC_NREEMB_OUTROS","QT_CONC_FINANC","QT_CONC_FINANC_REEMB","QT_CONC_FIES","QT_CONC_RPFIES","QT_CONC_FINANC_REEMB_OUTROS","QT_CONC_FINANC_NREEMB","QT_CONC_PROUNII","QT_CONC_PROUNIP","QT_CONC_NRPFIES","QT_CONC_FINANC_NREEMB_OUTROS","QT_ING_RESERVA_VAGA","QT_ING_RVREDEPUBLICA","QT_ING_RVETNICO","QT_ING_RVPDEF","QT_ING_RVSOCIAL_RF","QT_ING_RVOUTROS","QT_MAT_RESERVA_VAGA","QT_MAT_RVREDEPUBLICA","QT_MAT_RVETNICO","QT_MAT_RVPDEF","QT_MAT_RVSOCIAL_RF","QT_MAT_RVOUTROS","QT_CONC_RESERVA_VAGA","QT_CONC_RVREDEPUBLICA","QT_CONC_RVETNICO","QT_CONC_RVPDEF","QT_CONC_RVSOCIAL_RF","QT_CONC_RVOUTROS","QT_SIT_TRANCADA","QT_SIT_DESVINCULADO","QT_SIT_TRANSFERIDO","QT_SIT_FALECIDO","QT_ING_PROCESCPUBLICA","QT_ING_PROCESCPRIVADA","QT_ING_PROCNAOINFORMADA","QT_MAT_PROCESCPUBLICA","QT_MAT_PROCESCPRIVADA","QT_MAT_PROCNAOINFORMADA","QT_CONC_PROCESCPUBLICA","QT_CONC_PROCESCPRIVADA","QT_CONC_PROCNAOINFORMADA","QT_PARFOR","QT_ING_PARFOR","QT_MAT_PARFOR","QT_CONC_PARFOR","QT_APOIO_SOCIAL","QT_ING_APOIO_SOCIAL","QT_MAT_APOIO_SOCIAL","QT_CONC_APOIO_SOCIAL","QT_ATIV_EXTRACURRICULAR","QT_ING_ATIV_EXTRACURRICULAR","QT_MAT_ATIV_EXTRACURRICULAR","QT_CONC_ATIV_EXTRACURRICULAR","QT_MOB_ACADEMICA","QT_ING_MOB_ACADEMICA","QT_MAT_MOB_ACADEMICA","QT_CONC_MOB_ACADEMICA"
2015,"Norte",1,"Rondônia","RO",11,"Ariquemes",1100023,0,1,3,5,2,1540,"SISTEMAS PARA INTERNET",118968,"Sistemas para internet","""0615S03""","06","Computação e Tecnologias da Informação e Comunicação (TIC)","061","Computação e Tecnologias da Informação e Comunicação (TIC)","0615","Gestão e desenvolvimento de sistemas de informação",3,0,1,1,1,50,0,50,0,50,0,0,0,50,0,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,3,19,0,22,0,12,7,2,0,1,0,0,5,0,1,0,0,16,22,3,19,0,22,0,12,7,2,0,1,0,0,5,0,1,0,0,16,0,0,22,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,21,1,0,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"Norte",1,"Rondônia","RO",11,"Cacoal",1100049,0,1,3,5,2,4255,"ANÁLISE E DESENVOLVIMENTO DE SISTEMAS",58741,"Sistemas de informação","""0615S02""","06","Computação e Tecnologias da Informação e Comunicação (TIC)","061","Computação e Tecnologias da Informação e Comunicação (TIC)","0615","Gestão e desenvolvimento de sistemas de informação",3,0,1,1,1,100,0,100,0,100,0,0,0,100,0,100,0,100,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,6,0,6,0,6,0,4,1,0,1,0,0,0,3,1,1,1,0,0,2,0,2,0,2,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,1,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"Norte",1,"Rondônia","RO",11,"Cacoal",1100049,0,1,3,5,2,4255,"SISTEMA DE INFORMAÇÃO",1032473,"Sistemas de informação","""0615S02""","06","Computação e Tecnologias da Informação e Comunicação (TIC)","061","Computação e Tecnologias da Informação e Comunicação (TIC)","0615","Gestão e desenvolvimento de sistemas de informação",1,0,1,1,1,100,0,100,0,100,0,0,0,100,0,100,0,100,0,0,0,51,4,47,0,51,51,51,0,0,0,0,0,0,0,0,0,1,40,5,3,0,1,1,0,17,2,30,2,0,0,81,5,76,0,81,1,56,14,6,1,2,1,0,31,4,41,2,0,3,3,0,3,0,3,0,0,1,1,0,1,0,0,0,0,3,0,0,0,51,0,81,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,37,1,0,45,6,0,68,13,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2015,"Norte",1,"Rondônia","RO",11,"Ji-Paraná",1100122,0,1,2,5,2,450,"SISTEMAS DE INFORMAÇÃO",9414,"Sistemas de informação","""0615S02""","06","Computação e Tecnologias da Informação e Comunicação (TIC)","061","Computação e Tecnologias da Informação e Comunicação (TIC)","0615","Gestão e desenvolvimento de sistemas de informação",1,0,1,1,1,159,0,159,0,129,0,30,0,142,0,142,0,142,0,0,0,69,14,55,0,69,69,31,38,0,0,0,0,0,0,0,0,3,56,5,3,2,0,0,0,20,4,13,0,0,32,161,23,138,0,161,3,119,26,8,3,2,0,0,25,8,22,1,0,105,17,2,15,0,17,0,8,8,1,0,0,0,0,1,0,0,0,0,16,69,0,161,0,17,0,0,0,0,0,47,4,3,2,0,44,38,0,0,6,122,7,6,2,0,117,65,0,26,26,15,0,0,0,0,15,2,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,13,2,0,66,3,0,122,6,33,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"Norte",1,"Rondônia","RO",11,"Ouro Preto do Oeste",1100155,0,1,3,5,2,2779,"SISTEMA DE INFORMAÇÃO",88066,"Sistemas de informação","""0615S02""","06","Computação e Tecnologias da Informação e Comunicação (TIC)","061","Computação e Tecnologias da Informação e Comunicação (TIC)","0615","Gestão e desenvolvimento de sistemas de informação",1,0,1,1,1,50,0,50,0,50,0,0,0,34,0,34,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,5,24,0,29,0,14,7,3,4,1,0,0,8,0,3,0,0,18,6,3,3,0,6,0,1,3,1,1,0,0,0,5,0,1,0,0,0,0,0,29,0,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,22,4,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"Norte",1,"Rondônia","RO",11,"Pimenta Bueno",1100189,0,1,3,4,2,1403,"SISTEMA DE INFORMAÇÃO",99660,"Sistemas de informação","""0615S02""","06","Computação e Tecnologias da Informação e Comunicação (TIC)","061","Computação e Tecnologias da Informação e Comunicação (TIC)","0615","Gestão e desenvolvimento de sistemas de informação",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,11,0,14,0,9,3,1,1,0,0,0,0,8,0,0,0,6,3,0,3,0,3,0,2,0,1,0,0,0,0,0,3,0,0,0,0,0,0,14,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,0,0,0,0,0,14,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"Norte",1,"Rondônia","RO",11,"Porto Velho",1100205,1,1,1,1,1,699,"CIÊNCIA DA COMPUTAÇÃO",318882,"Ciência da computação","""0614C01""","06","Computação e Tecnologias da Informação e Comunicação (TIC)","061","Computação e Tecnologias da Informação e Comunicação (TIC)","0614","Ciência da computação",1,1,1,1,1,43,43,0,0,30,0,13,0,245,245,0,0,223,0,22,0,2,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,98,17,81,98,0,0,55,25,10,6,1,1,0,35,7,50,4,0,2,10,4,6,10,0,0,2,8,0,0,0,0,0,6,0,4,0,0,0,2,0,97,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,7,0,5,0,0,0,0,0,0,0,1,48,0,0,2,0,0,69,26,3,8,2,0,0,0,0,0,22,0,21,1,6,0,6,0,0,0,0,0
2015,"Norte",1,"Rondônia","RO",11,"Porto Velho",1100205,1,1,3,5,2,900,"SISTEMAS DE INFORMAÇÃO",109252,"Sistemas de informação","""0615S02""","06","Computação e Tecnologias da Informação e Comunicação (TIC)","061","Computação e Tecnologias da Informação e Comunicação (TIC)","0615","Gestão e desenvolvimento de sistemas de informação",1,0,1,1,1,60,0,60,0,50,0,10,0,60,0,60,0,50,0,10,0,40,1,39,0,40,40,40,0,0,0,0,0,0,0,0,0,0,27,4,6,1,2,0,0,10,1,27,0,0,2,143,23,120,0,143,0,78,36,18,6,5,0,0,16,8,101,2,0,16,26,7,19,0,26,0,14,8,3,1,0,0,0,4,2,19,0,0,1,40,0,143,0,26,0,5,0,5,0,7,7,1,0,6,0,0,0,0,0,39,30,6,0,24,9,9,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,47,0,0,33,7,0,127,16,0,21,5,0,0,0,0,0,0,0,0,0,14,1,14,0,0,0,0,0
2015,"Norte",1,"Rondônia","RO",11,"Porto Velho",1100205,1,1,3,5,2,900,"SISTEMAS PARA INTERNET",17470,"Sistemas para internet","""0615S03""","06","Computação e Tecnologias da Informação e Comunicação (TIC)","061","Computação e Tecnologias da Informação e Comunicação (TIC)","0615","Gestão e desenvolvimento de sistemas de informação",3,0,1,1,1,60,0,60,0,50,0,10,0,60,0,60,0,50,0,10,0,16,1,15,0,16,7,7,0,0,0,0,0,0,9,0,0,0,9,4,0,1,2,0,0,2,2,12,0,0,0,41,3,38,0,41,0,20,7,5,4,4,1,0,10,1,28,0,0,2,11,1,10,0,11,0,4,1,3,2,0,1,0,1,0,8,0,0,2,16,0,41,0,11,0,0,0,0,0,2,2,1,0,1,0,0,0,0,0,8,6,3,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,23,0,0,10,6,0,34,6,1,8,2,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
2015,"Norte",1,"Rondônia","RO",11,"Porto Velho",1100205,1,1,3,4,2,1515,"ANÁLISE E DESENVOLVIMENTO DE SISTEMAS",1175920,"Sistemas de informação","""0615S02""","06","Computação e Tecnologias da Informação e Comunicação (TIC)","061","Computação e Tecnologias da Informação e Comunicação (TIC)","0615","Gestão e desenvolvimento de sistemas de informação",3,0,1,1,1,150,0,150,0,100,0,50,0,65,0,65,0,45,0,20,0,20,5,15,0,20,20,17,3,0,0,0,0,0,0,0,0,1,11,5,3,0,0,0,0,3,4,11,1,0,1,9,2,7,0,9,0,7,2,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,9,0,0,0,0,0,0,0,11,1,1,0,0,10,2,1,8,0,7,1,1,0,0,6,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,18,2,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
